port	Host	Switch	Description								
24		5	47	Northland CNR02 secondary								
1	SUN_IPV6-3	3	0	SUN_IPV6-3								
2	dpetest2	3	2	DPEtest2 (209.55.16.14)								
3		3	4	APP05								
4		3	6	INT03 eth0								
5		3	8	APP03 eth0								
6		3	10	DCP03 eth0								
7	dpetest1	3	12	dpetest1								
8	dpetest1	3	14	dpetest1								
9	pts	3	16	pts								
10	SUN_IPV6-3	3	18	SUN_IPV6-3								
11	SUN-IPV6 console	3	20	SUN-IPV6 console								
12		3	22									
13	SUN-IPV6 console	3	24	SUN-IPV6 console								
14		3	26									
15		3	28	APP04								
16		3	30	Pillar pilot primary								
17	dpetest3	3	32	dpetest3								
18	SUN_IPV6-5	3	34	SUN_IPV6-5								
19	SUN_IPV6-6	`x	36	SUN_IPV6-6								
20	ibbs01-dpe02	3	38	ibbs01-dpe02								
21		3	40									
22		3	42									
23		3	44									
24		3	46									
1		6	0									
2	DPEtest2 (209.55.16.14)	6	2	DPEtest2 (209.55.16.14)								
		6	1									
3		6	4	APP05 eth1								
		6	3									
4		6	6	INT03 eth1								
		6	5	SRX3400 node1 reth0								
5		6	8	APP03 eth1								
		6	7	SRX3400 node1 reth1								
6		6	10	DCP03 eth1								
		6	9									
7	dpetest	6	12	dpetest								
		6	11	SLB-2								
		6	13	SLB-2								
	Pillar pilot secondary	6	15	Pillar pilot secondary								
8	dpetest1	6	14	dpetest1								
	IPSLA1	6	17	IPSLA1								
9	pts	6	16	pts								
		6	19									
10	SUN_IPV6-3	6	18	SUN_IPV6-3								
		6	21									
11	SUN-IPV6 console	6	20	SUN-IPV6 console								
		6	23									
12	SUN-IPV6 console	6	22	SUN-IPV6 console								
		6	25	Laptop Access								
13	SUN-IPV6 console	6	24	SUN-IPV6 console								
	ASR1K	6	27	ASR1K gi-0/0/0								
14		6	26									
	ASR1K	6	29	ASR1K gi-0/0/1								
15		6	28	APP04								
	ASR1K	6	31	ASR1K gi-0/0/2								
16		6	30	Pillar pilot secondary								
		6	33	SUN_IPV6-5								
17	dpetest3	6	32	dpetest3								
		6	35	SUN_IPV6-7								
18	SUN_IPV6-5	6	34	SUN_IPV6-5								
		6	37									
19	dpetest4	6	36	dpetest4								
		6	39									
20	Ibbs01-dpe02	6	38	Ibbs01-dpe02								
		6	41									
21		6	40									
		6	43									
22		6	42									
		6	45									
23		6	44									
24		6	46									
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
